0,0,0
0,0,0,1797,1801,1803,1805,1804,1809,1813,1816,1823,1827,1835,1838,1848,1853,1864,1873,1882,1889,1902,1915,1925,1938,1953,1968,1986,2000,2017,2037,2053,2074,2095,2121,2142,2167,2193,2217,2249,2279,2309,2342,2378,2410,2449,2491,2534,8153,8019,7890,7768,7657,7545,7442,7339,7247,7155,7069,6986,6911,6835,6765,6699,6637,6576,6518,6463,6412,6361,6316,6274,6230,6193,6153,6121,6434,6844,7305,7827,8467,9169,10034,11088,11444,11416,11390,11373,11354,11342,11330,11325,11320,11319,11325,11332,11341,11352,11369,11390,11416,11442,11476,11512,11550,11590,7229,6736,6329,5948,5617,5320,5054,4826,4610,4414,4236,4073,3919,3783,3654,3539,3427,3325,3228,3141,3059,2980,2906,2837,2772,2712,2652,2598,2548,2498,2452,2404,2363,2326,2289,2253,2216,2184,2156,2285,2337,2393,2449,2519,2585,2655,2729,2812,2903,2998,3099,3212,3331,3461,3601,3756,3923,4113,4320,4559,4808,5109,5441,5818,6246,6777,7389,8115,9007,10107,11524,13501,16197,20086,25555,25537,25525,25520
0,0,0,1799,1803,1804,1806,1808,1811,1810,1819,1820,1825,1834,1841,1846,1855,1862,1870,1881,1889,1904,1913,1927,1937,1953,1966,1982,2002,2016,2038,2052,2076,2096,2117,2140,2166,2193,2220,2248,2277,2309,2343,2374,2410,2449,2493,2533,8156,8021,7888,7766,7654,7546,7439,7341,7245,7158,7067,6991,6908,6839,6764,6699,6636,6573,6518,6462,6410,6360,6315,6269,6229,6188,6155,6118,6449,6837,7316,7844,8465,9190,10053,11108,11445,11416,11393,11371,11356,11339,11333,11323,11318,11318,11321,11330,11340,11356,11371,11392,11417,11443,11475,11510,11548,11593,7233,6743,6319,5943,5619,5326,5061,4820,4608,4414,4234,4071,3922,3780,3656,3538,3425,3325,3230,3141,3058,2981,2906,2835,2774,2709,2652,2599,2547,2499,2449,2407,2366,2325,2289,2253,2218,2187,2155,2282,2339,2392,2451,2517,2583,2654,2731,2812,2906,2994,3099,3208,3328,3460,3597,3753,3927,4114,4322,4549,4814,5111,5440,5825,6262,6762,7376,8092,8993,10129,11538,13433,16179,20173,25552,25535,25523,25519
0,0,0,1800,1799,1804,1805,1804,1810,1811,1817,1823,1824,1831,1841,1848,1856,1862,1871,1878,1891,1903,1912,1928,1940,1954,1969,1982,2001,2016,2035,2053,2076,2098,2121,2142,2167,2194,2218,2248,2278,2310,2341,2377,2412,2454,2494,2531,8153,8017,7893,7773,7653,7544,7440,7343,7243,7155,7069,6990,6912,6835,6763,6698,6635,6574,6517,6462,6412,6362,6314,6271,6229,6193,6153,6119,6445,6848,7303,7834,8452,9171,10048,11085,11445,11417,11389,11371,11353,11341,11329,11322,11321,11321,11325,11329,11342,11356,11372,11389,11416,11443,11477,11510,11550,11592,7225,6749,6325,5950,5612,5320,5057,4824,4611,4412,4232,4070,3926,3782,3654,3540,3429,3325,3231,3142,3059,2983,2906,2837,2769,2708,2652,2596,2549,2499,2452,2409,2363,2325,2287,2254,2218,2184,2155,2283,2339,2396,2451,2514,2583,2653,2735,2814,2902,3000,3099,3207,3332,3458,3599,3757,3928,4115,4325,4551,4816,5105,5442,5823,6265,6764,7387,8100,8982,10118,11541,13456,16171,20256,25555,25534,25524,25517
0,0,0,1802,1799,1801,1806,1808,1810,1813,1815,1823,1825,1833,1837,1847,1852,1863,1871,1878,1892,1903,1916,1927,1938,1953,1968,1981,1999,2019,2034,2052,2074,2097,2118,2144,2167,2189,2217,2250,2278,2309,2344,2378,2414,2451,2491,2534,8151,8020,7892,7766,7656,7546,7439,7344,7245,7158,7070,6990,6912,6838,6767,6699,6637,6573,6519,6462,6410,6362,6316,6273,6227,6192,6156,6122,6438,6841,7315,7837,8452,9181,10032,11066,11442,11416,11392,11373,11353,11342,11328,11322,11321,11319,11325,11330,11339,11356,11372,11392,11417,11442,11474,11508,11547,11588,7246,6743,6319,5954,5615,5323,5060,4824,4609,4411,4234,4069,3922,3785,3656,3540,3428,3326,3232,3145,3059,2981,2908,2835,2771,2709,2651,2597,2548,2496,2451,2404,2366,2327,2289,2250,2218,2188,2153,2286,2336,2395,2454,2517,2581,2654,2735,2812,2905,2999,3101,3210,3332,3456,3598,3756,3933,4113,4318,4553,4819,5110,5430,5815,6260,6779,7375,8101,9005,10101,11561,13481,16162,20156,25552,25535,25521,25518
64,0,0,1800,1801,1801,1804,1808,1808,1814,1815,1824,1827,1834,1840,1845,1853,1863,1869,1883,1890,1901,1912,1928,1938,1952,1968,1983,1998,2015,2037,2056,2074,2093,2119,2139,2166,2190,2217,2248,2275,2309,2339,2375,2414,2450,2490,8204,8065,7931,7803,7683,7574,7464,7357,7259,7165,7078,6990,6914,6837,6762,6693,6622,6562,6505,6444,6392,6341,6292,6244,6205,6161,6123,6085,6053,6448,6844,7311,7845,8451,9165,10053,11101,11378,11351,11327,11309,11291,11278,11267,11262,11255,11257,11258,11267,11278,11289,11310,11330,11354,11379,11410,11444,11484,11528,7239,6742,6316,5948,5613,5318,5059,4825,4610,4415,4238,4069,3920,3785,3654,3538,3429,3328,3229,3141,3060,2980,2907,2838,2772,2710,2654,2595,2544,2499,2450,2408,2367,2326,2288,2254,2219,2188,2155,2123,2230,2283,2340,2401,2463,2532,2604,2687,2769,2860,2960,3062,3180,3302,3437,3586,3748,3930,4128,4346,4600,4879,5185,5560,5979,6463,7036,7745,8578,9659,11039,12893,15383,19316,25555,25537,25525,25519
349,0,0,1801,1803,1800,1804,1807,1807,1813,1817,1820,1826,1835,1841,1845,1853,1864,1870,1878,1890,1901,1912,1924,1941,1954,1966,1983,2002,2017,2035,2054,2072,2098,2119,2141,2166,2192,2221,2248,2278,2310,8584,8412,8250,8088,7942,7802,7669,7539,7424,7310,7198,7095,6998,6904,6815,6733,6649,6576,6500,6433,6363,6303,6239,6183,6129,6079,6029,5984,5939,5898,5858,5824,5792,6088,6447,6851,7314,7849,8460,9176,10034,11064,11092,11065,11041,11022,11009,10992,10982,10975,10975,10975,10975,10983,10993,11005,11024,11044,11065,11092,11123,11160,11194,11237,11283,6743,6325,5950,5615,5321,5056,4823,4612,4410,4235,4067,3919,3788,3655,3538,3426,3326,3230,3145,3062,2980,2905,2837,2772,2709,2652,2597,2548,2497,2449,2405,2367,2323,2290,2252,2218,2184,2157,2126,2098,2069,2043,2019,1997,1977,1957,2115,2184,2256,2331,2412,2503,2604,2712,2826,2955,3100,3257,3430,3621,3841,4090,4372,4712,5098,5551,6112,6762,7597,8676,10163,12164,15146,20109,25535,25526,25520
651,0,0,1798,1802,1801,1803,1807,1807,1811,1815,1822,1827,1833,1841,1848,1853,1862,1873,1881,1894,1905,1915,1924,1939,1951,1968,1981,2000,2017,2038,2056,2076,2097,2120,2140,8616,8722,8827,8672,8480,8288,8118,7951,7794,7647,7508,7377,7253,7133,7016,6911,6805,6708,6618,6528,6444,6362,6287,6214,6146,6077,6017,5959,5898,5848,5798,5745,5700,5656,5618,5578,5540,5506,5769,6082,6437,6840,7307,7849,8460,9181,10053,10818,10793,10766,10744,10720,10707,10695,10685,10679,10675,10672,10677,10685,10694,10704,10721,10740,10766,10792,10818,10853,10889,10929,10973,11021,6322,5953,5624,5320,5062,4819,4607,4411,4232,4072,3922,3786,3655,3538,3431,3324,3234,3140,3059,2982,2906,2837,2769,2711,2654,2601,2546,2497,2453,2405,2362,2324,2288,2253,2218,2184,2156,2126,2096,2072,2048,2020,2001,1978,1957,1937,1916,1900,1883,1868,1852,1838,1824,2023,2111,2215,2327,2453,2589,2747,2928,3129,3371,3649,3970,4365,4850,5448,6234,7254,8691,10895,14548,21411,25523,25521
954,0,0,1800,1800,1803,1802,1807,1809,1811,1815,1824,1829,1832,1839,1847,1854,1863,1872,1882,1891,1903,1912,1926,1939,1954,1968,1984,1997,8024,8097,8173,8255,8336,8427,8520,8615,8572,8368,8166,7981,7813,7646,7495,7342,7210,7076,6948,6835,6719,6611,6511,6418,6320,6236,6152,6072,5994,5922,5857,5793,5727,5671,5614,5561,5507,5461,5416,5370,5331,5290,5254,5218,5480,5773,6079,6436,6848,7301,7837,8441,9193,10040,10519,10486,10463,10440,10419,10407,10393,10385,10376,10375,10372,10378,10381,10394,10403,10419,10438,10462,10489,10513,10548,10585,10623,10663,10710,6314,5946,5611,5324,5055,4823,4604,4409,4235,4070,3922,3784,3654,3537,3427,3327,3231,3141,3058,2981,2907,2835,2769,2712,2652,2599,2545,2498,2449,2404,2366,2327,2288,2253,2219,2183,2156,2126,2098,2073,2043,2020,1998,1974,1957,1935,1916,1900,1883,1866,1849,1836,1823,1809,1796,1788,1776,1763,1756,1748,1736,1732,2023,2198,2390,2623,2920,3281,3741,4372,5212,6555,8725,13137,25524,25520
1256,0,0,1802,1799,1801,1802,1805,1810,1812,1819,1821,1825,1831,1838,1847,1854,1863,1873,1881,7524,7564,7611,7665,7716,7772,7830,7890,7957,8025,8100,8175,8253,8337,8425,8479,8254,8046,7851,7669,7496,7333,7177,7036,6897,6766,6638,6524,6416,6311,6206,6110,6018,5936,5852,5772,5699,5626,5560,5496,5434,5376,5321,5268,5218,5169,5124,5082,5041,5002,4968,4930,5230,5481,5768,6081,6441,6849,7313,7848,8449,9185,10046,10213,10182,10158,10140,10119,10104,10093,10082,10078,10073,10073,10079,10085,10090,10104,10118,10137,10160,10182,10212,10243,10279,10312,10356,10400,10452,5951,5615,5323,5057,4821,4604,4410,4233,4076,3922,3783,3653,3536,3428,3327,3231,3141,3058,2977,2906,2840,2771,2711,2654,2596,2547,2497,2449,2409,2366,2326,2286,2250,2217,2183,2153,2124,2098,2072,2046,2021,1997,1976,1957,1937,1917,1902,1885,1867,1853,1839,1825,1810,1799,1786,1775,1767,1755,1747,1740,1732,1726,1714,1709,1705,1701,1695,1691,1687,1686,1683,2952,4441,9007,25518
1588,0,0,1802,1800,1800,1806,1806,1810,1812,7227,7247,7269,7291,7316,7348,7378,7408,7443,7485,7523,7567,7616,7664,7714,7771,7827,7892,7957,8028,8098,8172,8252,8321,8080,7868,7662,7469,7287,7119,6954,6807,6664,6529,6402,6278,6167,6058,5955,5852,5759,5673,5589,5507,5434,5358,5289,5225,5159,5098,5047,4991,4942,4889,4843,4801,4759,4715,4682,4645,4778,4990,5227,5488,5767,6081,6441,6849,7311,7836,8448,9190,9905,9878,9850,9825,9806,9789,9771,9761,9752,9749,9742,9745,9748,9754,9762,9772,9788,9808,9826,9850,9880,9906,9938,9977,10017,10060,10107,10159,5612,5328,5065,4822,4609,4415,4232,4070,3920,3785,3657,3537,3431,3325,3232,3142,3055,2983,2909,2838,2774,2710,2653,2600,2546,2497,2450,2408,2364,2325,2288,2252,2216,2183,2152,2124,2095,2072,2046,2023,1997,1976,1957,1934,1916,1901,1881,1867,1849,1838,1821,1809,1798,1785,1775,1763,1757,1746,1739,1729,1724,1715,1710,1704,1701,1697,1693,1689,1686,1686,1682,1679,1681,1679
